item_index,image_word,condition,average_rating
61,sunset,incongruent,1.9230769230769231
62,funeral,congruent,4.615384615384615
62,holidays,congruent,3.6923076923076925
62,funeral,incongruent,1.3333333333333333
62,holidays,incongruent,1.2307692307692308
63,affair,congruent,4.923076923076923
63,grades,congruent,4.333333333333333
63,affair,incongruent,1.3076923076923077
63,grades,incongruent,1.6923076923076923
64,arrest,congruent,3.25
64,stroke,congruent,3.6153846153846154
64,arrest,incongruent,2.230769230769231
64,stroke,incongruent,2.076923076923077
65,coffee,congruent,4.384615384615385
65,pacifier,congruent,3.6153846153846154
65,coffee,incongruent,1.3333333333333333
65,pacifier,incongruent,1.6923076923076923
66,sentencing,congruent,4.153846153846154
66,sweets,congruent,4.615384615384615
66,sentencing,incongruent,1.5833333333333333
66,sweets,incongruent,1.0769230769230769
67,nap,congruent,4.833333333333333
67,selfie,congruent,4.846153846153846
67,nap,incongruent,1.3076923076923077
67,selfie,incongruent,1.0
68,diaper,congruent,4.6923076923076925
68,tire,congruent,4.923076923076923
68,diaper,incongruent,1.3846153846153846
68,tire,incongruent,1.0
69,chemotherapy,congruent,4.333333333333333
69,golf,congruent,4.923076923076923
69,chemotherapy,incongruent,1.3076923076923077
69,golf,incongruent,1.2307692307692308
70,lullaby,congruent,4.230769230769231
70,thunder,congruent,4.538461538461538
70,lullaby,incongruent,1.8333333333333333
70,thunder,incongruent,1.7692307692307692
71,pajamas,congruent,4.3076923076923075
71,uniform,congruent,4.461538461538462
71,pajamas,incongruent,1.3846153846153846
71,uniform,incongruent,1.3333333333333333
72,gown,congruent,4.6923076923076925
72,sweats,congruent,3.4166666666666665
72,gown,incongruent,1.0769230769230769
72,sweats,incongruent,1.7692307692307692
73,bed,congruent,4.846153846153846
73,deadline,congruent,4.3076923076923075
73,bed,incongruent,2.0
73,deadline,incongruent,1.4166666666666667
74,jail,congruent,4.538461538461538
74,kindergarten,congruent,3.6666666666666665
74,jail,incongruent,1.0769230769230769
74,kindergarten,incongruent,1.9230769230769231
75,interrogated,congruent,4.3076923076923075
75,tickled,congruent,4.916666666666667
75,interrogated,incongruent,1.0
75,tickled,incongruent,1.6153846153846154
76,sandcastle,congruent,4.153846153846154
76,snowman,congruent,5.0
76,sandcastle,incongruent,1.4615384615384615
76,snowman,incongruent,1.0
77,music,congruent,4.916666666666667
77,pizza,congruent,4.923076923076923
77,music,incongruent,1.0769230769230769
77,pizza,incongruent,1.0769230769230769
78,cartoon,congruent,4.846153846153846
78,playoffs,congruent,4.083333333333333
78,cartoon,incongruent,1.2307692307692308
78,playoffs,incongruent,1.2307692307692308
79,academics,congruent,4.384615384615385
79,alcoholism,congruent,4.769230769230769
79,academics,incongruent,2.0
79,alcoholism,incongruent,2.6666666666666665
